1,CopY/TcrY family copper transport repressor [Streptococcus mitis],254,254,98%,3.00E-85,96%,WP_049522083.1
2,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC077D04],250,250,98%,8.00E-84,95%,WP_070482843.1
3,CopY/TcrY family copper transport repressor [Streptococcus sp. M143],251,251,98%,2.00E-84,95%,WP_001167214.1
4,CopY/TcrY family copper transport repressor [Streptococcus sp. SK643],250,250,98%,8.00E-84,95%,WP_001167207.1
5,CopY/TcrY family copper transport repressor [Streptococcus sp. VT-4],249,249,98%,2.00E-83,95%,WP_109289768.1
6,"copper transport repressor, CopY/TcrY family [Streptococcus sp. M334]",254,254,100%,2.00E-85,94%,EFX59776.1
7,CopY/TcrY family copper transport repressor [Streptococcus oralis],249,249,98%,1.00E-83,94%,WP_084877892.1
8,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC063B03],249,249,98%,2.00E-83,94%,WP_070842694.1
9,CopY/TcrY family copper transport repressor [Streptococcus sp. KR],250,250,98%,5.00E-84,94%,WP_094753544.1
10,CopY/TcrY family copper transport repressor [Streptococcus sp. FDAARGOS_256],244,244,98%,1.00E-81,93%,WP_095726165.1
11,CopY/TcrY family copper transport repressor [Streptococcus sp. GMD2S],204,204,81%,6.00E-66,93%,WP_001167209.1
12,"copper transport repressor, CopY/TcrY family [Streptococcus pseudopneumoniae SK674]",247,247,99%,1.00E-82,92%,EID69678.1
13,CopY/TcrY family copper transport repressor [Streptococcus sp. CCUG 49591],229,229,98%,2.00E-75,92%,WP_064276934.1
14,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC062H02],243,243,98%,4.00E-81,92%,WP_070656970.1
15,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC070B10],245,245,98%,9.00E-82,92%,WP_070478636.1
16,CopY/TcrY family copper transport repressor [Streptococcus sp. NLAE-zl-C503],246,246,98%,4.00E-82,92%,WP_093586973.1
17,CopY/TcrY family copper transport repressor [Streptococcus sp. oral taxon 058],241,241,98%,2.00E-80,92%,WP_001167187.1
18,CopY/TcrY family copper transport repressor [Streptococcus sp. SR1],243,243,98%,6.00E-81,92%,WP_033584933.1
19,CopY/TcrY family copper transport repressor [Streptococcus sp. UMB0029],244,244,98%,2.00E-81,92%,WP_102210686.1
20,CopY/TcrY family copper transport repressor [Streptococcus sp. oral taxon 064],239,239,98%,9.00E-80,90%,WP_065371680.1
21,"copper transport repressor, CopY/TcrY family [Streptococcus sp. C300]",241,241,100%,3.00E-80,89%,EFX57204.1
22,CopY/TcrY family copper transport repressor [Streptococcus sp. F0441],239,239,98%,3.00E-79,89%,WP_009729943.1
23,CopY/TcrY family copper transport repressor [Streptococcus sp. NPS 308],238,238,98%,4.00E-79,89%,WP_096407871.1
24,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC056C01],220,220,98%,5.00E-72,83%,WP_075228221.1
25,CopAB ATPases metal-fist type repressor [Mycobacteroides abscessus subsp. abscessus],217,217,98%,8.00E-71,82%,SIA49978.1
26,CopY/TcrY family copper transport repressor [Streptococcus infantis],216,216,98%,2.00E-70,82%,WP_006155565.1
27,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC034E03],217,217,98%,1.00E-70,82%,WP_075232217.1
28,CopY/TcrY family copper transport repressor [Streptococcus sp. HPH0090],218,218,98%,3.00E-71,82%,WP_016466609.1
29,CopY/TcrY family copper transport repressor [Streptococcus sp. SK140],218,218,98%,2.00E-71,82%,WP_001167189.1
30,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC067H01],216,216,98%,3.00E-70,81%,WP_075229258.1
31,CopY/TcrY family copper transport repressor [Streptococcus timonensis],213,213,98%,3.00E-69,79%,WP_075566819.1
32,CopY/TcrY family copper transport repressor [Streptococcus peroris],206,206,98%,2.00E-66,78%,WP_006145219.1
33,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC074B11],207,207,98%,8.00E-67,77%,WP_070459055.1
34,CopY/TcrY family copper transport repressor [Streptococcus sanguinis],184,184,98%,1.00E-57,69%,WP_002903780.1
35,CopY/TcrY family copper transport repressor [Streptococcus parasanguinis],183,183,98%,3.00E-57,68%,WP_031574663.1
36,Negative transcriptional regulator-copper transport operon [Streptococcus sp. HSISM1],183,183,98%,2.00E-57,68%,EQC76318.1
37,CopY/TcrY family copper transport repressor [Streptococcus salivarius],181,181,98%,1.00E-56,67%,WP_080612005.1
38,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC061E03],181,181,98%,3.00E-56,67%,WP_070588650.1
39,CopY/TcrY family copper transport repressor [Streptococcus sp. HMSC072G04],181,181,98%,1.00E-56,67%,WP_070659455.1
40,CopY/TcrY family copper transport repressor [Streptococcus cristatus],179,179,98%,9.00E-56,66%,WP_045498041.1
41,CopY/TcrY family copper transport repressor [Streptococcus gordonii],178,178,98%,2.00E-55,66%,WP_045634381.1
42,CopY/TcrY family copper transport repressor [Streptococcus sp. CCH5-D3],178,178,98%,2.00E-55,66%,WP_060971408.1
43,CopY/TcrY family copper transport repressor [Streptococcus sp. CCH8-H5],177,177,98%,6.00E-55,66%,WP_060973317.1
